"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"SCOTT.HARRINGTON","2015-2016","TOR","D",15,196.42,0,1,1,0,0.31,0,2.08,0.64,179,173,6,50.85,-0.78,5,6,-1,45.45,1.82,8.02,6.8,1.22,54.12,-1.4,2,0,-2,31,9.47,0.42,0.13,0,99.74,57.03,22.18,28.01,49.62,29.06,51.43
"SCOTT.HARRINGTON","2016-2017","CBJ","D",22,286.02,1,2,3,1,0.63,0.21,2.88,0.6,236,273,-37,46.37,-3.52,14,12,2,53.85,5.01,10.13,11.84,-1.71,46.11,-1.74,5,2,-3,34,7.13,0.93,0.2,6.67,102.13,47.47,22.33,26.56,49.5,29,50.22
"SCOTT.HARTNELL","2013-2014","PHI","L",78,1316.72,20,32,52,39,2.37,1.78,63.66,2.9,1711,1039,672,62.22,16.45,95,44,51,68.35,25.68,84.1,47.39,36.71,63.96,19.47,38,37,-1,354,16.13,22.09,1.01,9.66,102.64,70.66,28,37.52,56.49,31.57,43.39
"SCOTT.HARTNELL","2014-2015","CBJ","L",77,1331.87,28,32,60,49,2.7,2.21,59.45,2.68,1435,1076,359,57.15,14.26,91,61,30,59.87,17.6,72.63,53.62,19.01,57.53,15.14,42,21,-21,308,13.88,23.45,1.06,13.73,100.95,60.29,28.58,33.54,53.52,30.86,45
"SCOTT.HARTNELL","2015-2016","CBJ","L",79,1231.09,23,26,49,38,2.39,1.85,43.12,2.1,1292,1021,271,55.86,11.43,75,63,12,54.35,10.51,75.58,53.07,22.51,58.75,11.65,42,22,-20,240,11.7,20.31,0.99,15.33,99.17,62.77,26.12,33.79,54.87,31.02,44.35
"SCOTT.HARTNELL","2016-2017","CBJ","L",78,940.83,13,24,37,28,2.36,1.79,40.25,2.57,928,736,192,55.77,7.44,48,30,18,61.54,5.88,46.77,35.72,11.05,56.7,8.65,23,20,-3,172,10.97,12.05,0.77,12.5,101.76,52.16,20.52,29.39,54.42,29.07,45.97
"SCOTTIE.UPSHALL","2013-2014","FLA","R",76,1209.72,15,22,37,31,1.84,1.54,42.3,2.1,1075,1016,59,51.41,2.04,51,54,-3,48.57,8.7,46.44,51.06,-4.62,47.63,1.37,33,32,-1,280,13.89,13.51,0.67,9.32,99.25,51.77,26.18,31.73,51.33,31.74,50.01
"SCOTTIE.UPSHALL","2014-2015","FLA","R",63,798.97,8,7,15,12,1.13,0.9,19.28,1.45,650,732,-82,47.03,-4.22,20,42,-22,32.26,-19.01,27.7,32.58,-4.88,45.95,-6.17,14,19,5,163,12.24,8.21,0.62,8.6,94.85,46.42,21.03,29.74,48.23,30.96,52.59
"SCOTTIE.UPSHALL","2015-2016","STL","R",70,766.34,6,8,14,13,1.1,1.02,22.3,1.75,603,661,-58,47.71,-2.92,24,23,1,51.06,-4.61,25.61,28.85,-3.24,47.03,-3.37,17,22,5,181,14.17,10.05,0.79,5.36,100.46,37.15,18.54,29.03,47.07,30.55,54.07
"SCOTTIE.UPSHALL","2016-2017","STL","R",73,801.78,9,8,17,15,1.27,1.12,12.16,0.91,516,799,-283,39.24,-12.38,25,35,-10,41.67,-14.56,21.71,36.8,-15.09,37.1,-16.09,21,14,-7,142,10.63,7.2,0.54,10.59,100.12,19.4,18.53,28.82,43.88,31.23,55.71
"SCOTT.KOSMACHUK","2015-2016","WPG","R",8,92.27,0,3,3,2,1.95,1.3,1.27,0.83,66,92,-26,41.77,-11.36,3,2,1,60,21.29,2.84,2.97,-0.13,48.88,-2.85,1,0,-1,12,7.8,0.84,0.55,0,103.81,33.33,19.64,27.6,50.37,28.13,48.15
"SCOTT.LAUGHTON","2014-2015","PHI","L",31,394.29,2,4,6,5,0.91,0.76,4.55,0.69,302,375,-73,44.61,-4.33,13,14,-1,48.15,-0.99,12.84,15.78,-2.94,44.86,-3.16,7,5,-2,89,13.54,4.65,0.71,3.92,101.25,50.72,21.04,30.15,48.8,29.67,52.09
"SCOTT.LAUGHTON","2015-2016","PHI","L",71,740.81,7,13,20,14,1.62,1.13,16.99,1.38,618,741,-123,45.47,-6.71,25,30,-5,45.45,-4.37,27.55,33.09,-5.54,45.43,-6.47,13,6,-7,145,11.74,6.62,0.54,8.24,99.9,50.6,17.74,29.04,48.59,29.04,51.81
"SCOTT.LAUGHTON","2016-2017","PHI","L",2,20.48,0,0,0,0,0,0,0.97,2.84,25,10,15,71.43,18.58,2,2,0,50,33.33,1.98,0.76,1.22,72.26,24.8,0,0,0,5,14.65,0.6,1.76,0,77.19,52.94,17.57,29.5,51.65,28.16,47.39
