"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"PATRICK.MARLEAU","2016-2017","S.J","C",81,1102.72,19,10,29,24,1.58,1.31,37.78,2.06,1102,1042,60,51.4,0.01,48,34,14,58.54,7.09,48.57,42.38,6.19,53.4,1.24,10,10,0,241,13.11,16.39,0.89,12.93,101.97,50.81,27.37,30.13,50.96,29.38,49.85
"PATRICK.MAROON","2013-2014","ANA","L",62,634.78,10,15,25,20,2.36,1.89,31.04,2.93,619,527,92,54.01,5.1,35,23,12,60.34,3.8,25.42,23.33,2.09,52.14,2.01,21,26,5,137,12.95,7.79,0.74,12.66,102.77,55.27,21.65,29.08,49.18,28.49,49.57
"PATRICK.MAROON","2014-2015","ANA","L",71,839.9,7,19,26,22,1.86,1.57,28.08,2.01,801,736,65,52.11,0.89,39,36,3,52,0.15,36.44,31.01,5.43,54.03,2.25,27,18,-9,159,11.36,10.37,0.74,7,99.73,49.79,24.24,29.73,50.12,28.81,50.12
"PATRICK.MAROON","2015-2016","ANA/EDM","L",72,767.75,7,12,19,12,1.48,0.94,18.9,1.48,732,711,21,50.73,-2.3,29,32,-3,47.54,-0.53,32.43,33.17,-0.74,49.44,-5.13,27,21,-6,132,10.32,7.63,0.6,8.33,99.48,58.85,22.24,29.65,51.48,28.47,49.38
"PATRICK.MAROON","2016-2017","EDM","L",81,1164.35,24,11,35,30,1.8,1.55,45.57,2.35,1178,1030,148,53.35,4.99,60,44,16,57.69,5.5,59.25,47.88,11.37,55.31,5.91,32,25,-7,246,12.68,19.25,0.99,16.67,101.43,57.36,29,31.24,49.03,29.48,50.03
"PATRICK.SHARP","2013-2014","CHI","R",82,1249.51,23,27,50,40,2.4,1.92,72.86,3.5,1339,1010,329,57,2.33,70,53,17,56.91,3.31,55.19,43.47,11.72,55.94,0.62,13,16,3,392,18.82,16.03,0.77,10.18,100.32,64.96,30.4,31.13,53.76,29.88,49.91
"PATRICK.SHARP","2014-2015","CHI","R/L/L",68,924.7,8,20,28,18,1.82,1.17,40.69,2.64,995,809,186,55.16,1.81,40,45,-5,47.06,-7.11,36.58,37.91,-1.33,49.11,-2.58,15,13,-2,292,18.95,12.08,0.78,4.62,97.95,66.11,26.94,30.18,52.48,28.83,49.69
"PATRICK.SHARP","2015-2016","DAL","L",76,1071.88,12,15,27,24,1.51,1.34,39.44,2.21,1160,999,161,53.73,1.19,45,47,-2,48.91,-5.41,47.27,45.93,1.34,50.72,-3.33,13,6,-7,302,16.9,14.56,0.82,7.14,98.51,56.38,28.72,31.07,52.11,29.44,49.65
"PATRICK.SHARP","2016-2017","DAL","L",48,631,4,10,14,8,1.33,0.76,17.57,1.67,618,601,17,50.7,0.65,17,34,-17,33.33,-22,25.97,27.43,-1.46,48.63,-1.08,10,10,0,194,18.45,8.74,0.83,3.48,93.59,43.37,26.69,29.31,49.94,28.91,49.92
"PATRICK.SIELOFF","2015-2016","CGY","D",1,10.32,1,0,1,1,5.81,5.81,1.12,6.51,9,6,3,60,2.86,1,0,1,100,50,0.2,0.18,0.02,52.63,-12.8,0,0,0,2,11.63,0.01,0.06,100,125,14.29,34.52,28.16,47.15,28.34,46.01
