"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"TOBIAS.ENSTROM","2016-2017","WPG","D",60,173.88,1,0,1,1,0.35,0.35,2.02,0.7,27,311,-284,7.99,-4.61,3,23,-20,11.54,-2.1,1.64,20.25,-18.61,7.49,-7.81,1,0,-1,2,0.69,0.18,0.06,100,102.47,4.42,55.99,37.57,14.56,49.21,88.99
"TOBIAS.LINDBERG","2015-2016","TOR","R",6,3.87,0,0,0,0,0,0,-0.01,-0.16,1,3,-2,25,12.84,0,0,0,NA,NA,0,0.12,-0.12,0,-12.92,0,0,0,0,0,0,0,NA,NA,100,8.83,40.34,14.14,47.65,87.48
"TOBIAS.RIEDER","2014-2015","ARI","C",72,90.07,3,0,3,3,2,2,3.53,2.35,25,165,-140,13.16,5.73,3,13,-10,18.75,16.37,1.97,11.62,-9.65,14.5,7.62,0,1,1,15,9.99,1.59,1.06,30,100.21,6.9,22.7,34.86,8.52,44.91,87.82
"TOBIAS.RIEDER","2015-2016","ARI","C",82,156.61,0,0,0,0,0,0,1.41,0.54,41,256,-215,13.8,4.25,0,18,-18,0,-6.12,2.18,15.06,-12.88,12.65,2.32,1,2,1,22,8.43,1.35,0.52,0,87.67,6.56,31.04,33.67,13.96,46.47,88.56
"TOBIAS.RIEDER","2016-2017","ARI","C/R",80,188.62,1,1,2,2,0.64,0.64,4.08,1.3,55,341,-286,13.89,3.4,3,22,-19,12,0.89,5.08,21.22,-16.14,19.32,8.99,0,3,3,33,10.5,3.15,1,4.35,93.31,2.04,46.77,37.53,11.24,47.84,88.58
"TODD.BERTUZZI","2013-2014","DET","R",59,0.34,0,0,0,0,0,0,0,0,0,1,-1,0,-9.35,0,0,0,NA,NA,0,0.05,-0.05,0,-10.25,0,0,0,0,0,0,0,NA,NA,NA,0.1,32,13,44.58,86.75
"TOMAS.FLEISCHMANN","2013-2014","FLA","L",80,83.85,0,1,1,1,0.72,0.72,1.1,0.79,19,131,-112,12.67,2.23,2,16,-14,11.11,-0.89,0.99,8.49,-7.5,10.44,1.1,0,0,0,5,3.58,0.17,0.12,0,98.89,6.25,20.56,34.1,11.59,44.01,88.11
"TOMAS.FLEISCHMANN","2014-2015","FLA/ANA","L",66,53.1,0,0,0,0,0,0,0.45,0.51,10,82,-72,10.87,-0.06,0,10,-10,0,-3.03,0.31,6.34,-6.03,4.66,-5.81,0,0,0,7,7.91,0.17,0.19,0,80.39,16,16.09,37.71,10.35,42.23,86.64
"TOMAS.FLEISCHMANN","2015-2016","MTL/CHI","L",75,110.4,1,0,1,1,0.54,0.54,1.31,0.71,23,168,-145,12.04,-2.15,1,11,-10,8.33,-15.35,1.08,13.21,-12.13,7.56,-10.25,0,0,0,10,5.43,0.36,0.2,25,97.44,7.78,29.63,38.49,13.8,45.99,88.45
"TOMAS.HERTL","2013-2014","S.J","C",37,0.2,0,0,0,0,0,0,0,0,0,1,-1,0,-11.75,0,0,0,NA,NA,0,0.09,-0.09,0,-17.42,0,0,0,0,0,0,0,NA,NA,0,0.13,38.33,11.67,21,85
"TOMAS.HERTL","2014-2015","S.J","C",82,0.98,0,0,0,0,0,0,0,0,0,1,-1,0,-13.67,0,0,0,NA,NA,0,0.06,-0.06,0,-13.31,0,0,0,0,0,0,0,NA,NA,100,0.28,30.51,16.27,32.52,85.98
"TOMAS.HERTL","2015-2016","S.J","C",81,2.24,0,0,0,0,0,0,0,0,1,1,0,50,41.11,0,0,0,NA,NA,0.05,0.09,-0.04,35.71,26.58,0,0,0,1,26.79,0.05,1.34,NA,NA,0,0.59,27.61,9.85,41.67,87.81
"TOMAS.HERTL","2016-2017","S.J","C",49,59.17,0,0,0,0,0,0,0.43,0.44,10,129,-119,7.19,-2.22,0,5,-5,0,-14.29,0.41,8.27,-7.86,4.72,-6.61,1,0,-1,2,2.03,0.06,0.06,0,92.65,6.85,27.43,37.41,9.87,45.57,88.8
"TOMAS.JURCO","2013-2014","DET","R",36,0.2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,100,0.11,20,6.67,31,87
"TOMAS.JURCO","2014-2015","DET","R",63,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
"TOMAS.JURCO","2015-2016","DET","R",44,1.32,0,0,0,0,0,0,0,0,0,3,-3,0,-7.96,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0.56,47.34,8.35,53.19,89.06
"TOMAS.JURCO","2016-2017","DET/CHI","R",29,0.6,0,0,0,0,0,0,0,0,1,1,0,50,41.46,0,0,0,NA,NA,0.05,0.03,0.02,62.5,55.46,0,0,0,0,0,0,0,NA,100,0,0.53,33.33,14.44,54.33,86.67
"TOMAS.KOPECKY","2013-2014","FLA","R",49,87.01,1,0,1,1,0.69,0.69,1.07,0.74,15,137,-122,9.87,-0.96,1,6,-5,14.29,10.58,1.48,9.94,-8.46,12.96,5.68,0,0,0,6,4.14,0.63,0.43,33.33,104.05,7.23,37.89,39.55,11.22,48.37,88.52
