"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"ANDRE.BURAKOVSKY","2015-2016","WSH","L",78,62.85,0,5,5,2,4.77,1.91,3.56,3.4,91,16,75,85.05,-4.68,5,0,5,100,9.62,5.19,0.81,4.38,86.5,-4.87,1,0,-1,12,11.46,1.15,1.1,0,110,90,16.88,49.55,88.96,36.14,11.64
"ANDRE.BURAKOVSKY","2016-2017","WSH","L",64,93.37,2,3,5,2,3.21,1.29,4.47,2.87,154,19,135,89.02,-0.68,8,1,7,88.89,-5.56,8.18,1.14,7.04,87.77,1.04,0,2,2,23,14.78,1.87,1.2,15.38,99.09,85.71,31.2,40.43,87.66,36.03,11.57
"ANDREI.LOKTIONOV","2013-2014","N.J/CAR","C",68,71.88,2,4,6,5,5.01,4.17,4.73,3.95,104,15,89,87.39,-0.97,7,0,7,100,10.81,7.14,0.69,6.45,91.19,5.75,1,0,-1,18,15.03,1.5,1.25,20,111.29,98.46,19.53,41.24,86.25,38.98,12.33
"ANDREI.MARKOV","2013-2014","MTL","D",81,352.18,2,19,21,11,3.58,1.87,17.06,2.91,607,88,519,87.34,4.6,39,5,34,88.64,18.64,41.1,5.87,35.23,87.5,4.79,0,0,0,104,17.72,4.54,0.77,4.55,104.21,94.89,74.82,49.59,81.71,38.05,11.67
"ANDREI.MARKOV","2014-2015","MTL","D",81,261.86,4,21,25,18,5.73,4.12,19.03,4.36,436,76,360,85.16,-3.39,33,3,30,91.67,-8.33,26.64,4.75,21.89,84.87,-6.6,2,0,-2,64,14.66,3.06,0.7,12.9,108.97,94.76,66.63,51.81,89.47,38.63,12.21
"ANDREI.MARKOV","2015-2016","MTL","D",81,268.09,4,13,17,9,3.8,2.01,13.35,2.99,434,60,374,87.85,0.78,30,5,25,85.71,10.71,32.02,3.95,28.07,89.02,5.11,1,0,-1,57,12.76,2.81,0.63,12.5,102.02,95.79,63.51,50.39,88.2,39.21,11.04
"ANDREI.MARKOV","2016-2017","MTL","D",62,158.85,1,11,12,11,4.53,4.15,9.68,3.66,209,36,173,85.31,2.06,15,0,15,100,28.57,12.01,2.08,9.93,85.24,0.53,0,0,0,40,15.11,1.22,0.46,5.88,113.51,95.38,56.14,47.88,84.33,39.65,12.17
"ANDREJ.MESZAROS","2013-2014","PHI/BOS","D",52,55.34,1,1,2,1,2.17,1.08,1.92,2.08,85,5,80,94.44,5.7,7,0,7,100,13.89,6.02,0.3,5.72,95.25,7.84,1,0,-1,18,19.52,0.54,0.59,11.11,113.21,95,19.99,39.75,88.3,35.51,11.53
"ANDREJ.MESZAROS","2014-2015","BUF","D",60,89.38,1,0,1,1,0.67,0.67,2.05,1.38,131,37,94,77.98,-6.06,2,4,-2,33.33,-57.58,8.92,2.59,6.33,77.5,-10.06,1,0,-1,34,22.82,1.29,0.87,5.56,86.74,89.29,31.11,37.23,80.77,36.37,12.83
"ANDREJ.NESTRASIL","2014-2015","DET/CAR","C",54,72.28,2,2,4,2,3.32,1.66,3.52,2.92,115,12,103,90.55,0.06,10,1,9,90.91,0,7.28,0.48,6.8,93.81,1.68,0,1,1,18,14.94,1.47,1.22,20,102.66,92.31,26.7,43.68,90.09,38.94,12.51
